run,num_seed,min_entropy,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,2.0,0.26167151551128515,2.6359832635983262,0.016209142414446844,0.00418410041841004,0.22184170739425468
2,2.0,0.2735138277070635,2.697478991596639,0.028692403801254464,0.004201680672268907,0.2080800187650522
3,2.0,0.26355169852485066,2.704225352112676,0.030641559302435166,0.0035211267605633804,0.1943276122599048
4,2.0,0.2750314697576725,2.84375,0.021901053728578045,0.00390625,0.22403336427392742
5,2.0,0.2553221277029052,2.701195219123506,0.03070474727595637,0.00398406374501992,0.23713772361534258
1,3.0,0.2710119797634808,2.7286245353159853,0.023172845517203253,0.003717472118959107,0.20516598097698488
2,3.0,0.2516136781084788,2.773913043478261,0.02343405980301047,0.004347826086956521,0.2689274276719318
3,3.0,0.2554341291880314,2.488,0.027227620158051562,0.003999999999999999,0.15810999471179268
4,3.0,0.23397749769823148,2.5118110236220472,0.016015661085842528,0.003937007874015747,0.14659097402374785
5,3.0,0.2592291924724938,2.8595041322314048,0.022116725535246847,0.004132231404958677,0.27831085896606894
1,4.0,0.23386113311518877,2.5291479820627805,0.024213528302159268,0.004484304932735426,0.17279454037565356
2,4.0,0.24708586056314166,2.4644549763033177,0.02863621786046331,0.004739336492890996,0.16871012084282225
3,4.0,0.25577000192994553,2.619607843137255,0.01999327507916428,0.00392156862745098,0.21381142580488982
4,4.0,0.2383813056037897,2.4210526315789473,0.02971647827690373,0.004048582995951417,0.10878304064437763
5,4.0,0.22683375136930617,2.4471544715447155,0.02869994859199177,0.004065040650406504,0.14308426659584203
1,5.0,0.2534147306091671,2.512396694214876,0.020493695918064082,0.004132231404958678,0.18193340750158932
2,5.0,0.2620037581650355,2.862559241706161,0.018786302248512275,0.004739336492890996,0.23471271681172887
3,5.0,0.2476538247018536,2.6200873362445414,0.025327949656956002,0.004366812227074236,0.16358769397774664
4,5.0,0.25989630988134443,2.589641434262948,0.025061264980239688,0.00398406374501992,0.19931277222113872
5,5.0,0.2140710681042187,2.506849315068493,0.03394018638188319,0.003424657534246575,0.13253631273373423
