run,prolif_prob,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,0.0,0.0453,2.5294117647058822,0.029965858903097817,0.004201680672268907,0.16398186393201353
2,0.0,0.047075,2.41635687732342,0.03305337478681526,0.0037174721189591068,0.1274031743520789
3,0.0,0.0467,2.563380281690141,0.03057058857361883,0.004694835680751173,0.1761774349802519
4,0.0,0.047725,2.8174603174603177,0.021704420413583753,0.003968253968253967,0.23327822626038125
5,0.0,0.045625,2.384313725490196,0.030624752468601284,0.00392156862745098,0.11657208765859282
6,0.0,0.04755,2.625,0.01246421790143763,0.004464285714285714,0.22182866574989868
7,0.0,0.0463,2.4910714285714284,0.01080767266305383,0.004464285714285714,0.18836444876734398
8,0.0,0.047325,2.678832116788321,0.027147355292481967,0.0036496350364963502,0.17224685930587502
9,0.0,0.0482,2.4555984555984556,0.029740781799419032,0.003861003861003861,0.12201355163027633
10,0.0,0.04595,2.362369337979094,0.03127732344677146,0.003484320557491289,0.1568847115531668
1,0.05210526315789474,0.025875,2.5506072874493926,0.026724946915667614,0.004048582995951417,0.18634676020075008
2,0.05210526315789474,0.0224,2.2933333333333334,0.013573208057512987,0.004444444444444444,0.08240896358543418
3,0.05210526315789474,0.02545,2.4958677685950414,0.027916566647234325,0.004132231404958678,0.16402835601400204
4,0.05210526315789474,0.02835,2.433734939759036,0.03562690096942557,0.004016064257028112,0.13800274473154675
5,0.05210526315789474,0.02885,2.6328125,0.028801552609232662,0.003906249999999999,0.19281877790178573
6,0.05210526315789474,0.03235,2.522935779816514,0.016441810685669814,0.004587155963302752,0.15458992347821277
7,0.05210526315789474,0.0297,2.5338645418326693,0.03484625354005664,0.00398406374501992,0.1548271560223752
8,0.05210526315789474,0.02645,2.328,0.024695945070604998,0.003999999999999999,0.11613737373737376
9,0.05210526315789474,0.027775,2.4663677130044843,0.030272120222001517,0.004484304932735425,0.1302345636426354
10,0.05210526315789474,0.02555,2.4679245283018867,0.02423079347894613,0.003773584905660377,0.13533955911314405
1,0.10421052631578948,0.0322,2.6766917293233083,0.030864790621493693,0.0037593984962406013,0.17529312792470697
2,0.10421052631578948,0.021,2.296875,0.04742405820595955,0.003906249999999999,0.08546759492607522
3,0.10421052631578948,0.02185,2.495049504950495,0.029057514010845317,0.0033003300330033004,0.12059675355290642
4,0.10421052631578948,0.0207,2.490566037735849,0.024605161746358194,0.004716981132075471,0.10243116114370272
5,0.10421052631578948,0.023725,2.6451612903225805,0.024400729021003147,0.004032258064516128,0.14636435748281326
6,0.10421052631578948,0.023475,2.3776824034334765,0.03970085215460382,0.004291845493562232,0.08672621118973048
7,0.10421052631578948,0.031675,2.6844106463878328,0.025362888172492878,0.0038022813688212928,0.15093699076588807
8,0.10421052631578948,0.0229,2.343065693430657,0.025716125866404958,0.00364963503649635,0.09761657546905339
9,0.10421052631578948,0.022325,2.375886524822695,0.03912634713914338,0.0035460992907801413,0.09767230405528277
10,0.10421052631578948,0.025825,2.403041825095057,0.025469424557837853,0.0038022813688212928,0.10343491118825882
1,0.1563157894736842,0.021875,2.4306569343065694,0.03125329300726467,0.00364963503649635,0.09504213829824745
2,0.1563157894736842,0.01995,2.314754098360656,0.04792860865033872,0.003278688524590163,0.0788984898651377
3,0.1563157894736842,0.0306,2.407017543859649,0.024170065336535988,0.0035087719298245615,0.11919262441818834
4,0.1563157894736842,0.027225,2.4609375,0.05379769279759148,0.0039062499999999996,0.1199692234848485
5,0.1563157894736842,0.031425,2.4784313725490197,0.0335119526009028,0.00392156862745098,0.14849541163266655
6,0.1563157894736842,0.0223,2.4198473282442747,0.029525313679038327,0.0038167938931297695,0.08863443596268022
7,0.1563157894736842,0.023375,2.2935153583617747,0.015460704260901684,0.0034129692832764505,0.10823271628013859
8,0.1563157894736842,0.033475,2.423076923076923,0.034921967877574144,0.0032051282051282046,0.11442612942612951
9,0.1563157894736842,0.014475,2.20863309352518,0.054469311068175756,0.003597122302158272,0.04782327983766832
10,0.1563157894736842,0.019175,2.482490272373541,0.026169937819485768,0.0038910505836575867,0.10716930769375367
1,0.20842105263157895,0.0259,2.575438596491228,0.025083013111836975,0.0035087719298245615,0.15180903648008914
2,0.20842105263157895,0.01365,2.2302631578947367,0.030338174545931417,0.003289473684210525,0.06179050567595457
3,0.20842105263157895,0.0271,2.4334600760456273,0.0344145886789188,0.003802281368821292,0.11425113326254008
4,0.20842105263157895,0.017725,2.514705882352941,0.03651548770389665,0.003676470588235293,0.108961937716263
5,0.20842105263157895,0.018275,2.3512544802867383,0.014323698837599305,0.0035842293906810036,0.081472064786859
6,0.20842105263157895,0.0067,2.254295532646048,0.049145608767335376,0.003436426116838487,0.04960919075533996
7,0.20842105263157895,0.014775,2.3066666666666666,0.04486603368424203,0.0033333333333333335,0.06639971139971139
8,0.20842105263157895,0.0226,2.264591439688716,0.022751440070191496,0.003891050583657587,0.059229582237533523
9,0.20842105263157895,0.0287,2.466403162055336,0.013922351874889546,0.003952569169960473,0.1437508804202816
10,0.20842105263157895,0.0177,2.2836363636363637,0.03467316138848986,0.0036363636363636364,0.07355151515151513
1,0.2605263157894737,0.016125,2.331168831168831,0.0523967952594126,0.0032467532467532465,0.08352883675464315
2,0.2605263157894737,0.006225,2.212121212121212,0.04101849542949699,0.0030303030303030294,0.06305916305916304
3,0.2605263157894737,0.02485,2.2907801418439715,0.038891172430204755,0.003546099290780141,0.07406037850343232
4,0.2605263157894737,0.001375,2.183098591549296,0.030298738525431215,0.0035211267605633795,0.01056338028169014
5,0.2605263157894737,0.005475,2.2783882783882783,0.08265283121480212,0.003663003663003662,0.06379731379731379
6,0.2605263157894737,0.005375,2.2566037735849056,0.044927247943963626,0.0037735849056603765,0.05037164093767868
7,0.2605263157894737,0.027075,2.548895899053628,0.018850307629607238,0.003154574132492113,0.12419823626290791
8,0.2605263157894737,0.02105,2.395348837209302,0.022593520005731,0.0038759689922480615,0.07006235254465788
9,0.2605263157894737,0.02495,2.515463917525773,0.014129980634482103,0.003436426116838487,0.13013195281236523
10,0.2605263157894737,0.00905,2.1986301369863015,0.022896629640270953,0.0034246575342465747,0.03964992389649925
1,0.3126315789473684,0.021175,2.4393939393939394,0.02941105977488875,0.003787878787878787,0.09555746541040655
2,0.3126315789473684,0.022875,2.436619718309859,0.04303728795851066,0.00352112676056338,0.10991760278268796
3,0.3126315789473684,0.026725,2.3691275167785233,0.0423351966976128,0.0033557046979865762,0.08548316691220602
4,0.3126315789473684,0.00785,2.251655629139073,0.021894567776286553,0.003311258278145695,0.05931471350417505
5,0.3126315789473684,0.004425,2.2464183381088825,0.04404420251745427,0.0028653295128939823,0.026470186928639644
6,0.3126315789473684,0.014425,2.4599303135888504,0.01368815181395413,0.0034843205574912888,0.10415906199878319
7,0.3126315789473684,0.0171,2.4227129337539433,0.04043793880874104,0.003154574132492113,0.07901803769311659
8,0.3126315789473684,0.024575,2.560747663551402,0.010098914540181057,0.0031152647975077876,0.14912133556993376
9,0.3126315789473684,0.011775,2.457912457912458,0.04199846996457166,0.003367003367003366,0.09828741758566317
10,0.3126315789473684,0.00855,2.1591695501730106,0.031062831636719725,0.0034602076124567475,0.028143021914648212
1,0.36473684210526314,0.00845,2.2857142857142856,0.048430056466219215,0.0027472527472527475,0.04749855407750144
2,0.36473684210526314,0.019825,2.3461538461538463,0.03332967640871386,0.0032051282051282046,0.0701849395814913
3,0.36473684210526314,0.018275,2.3548387096774195,0.026009615189070242,0.003225806451612902,0.07929680832906634
4,0.36473684210526314,0.008925,2.2284122562674096,0.04333561438456273,0.002785515320334261,0.061703384823161976
5,0.36473684210526314,0.006875,2.182410423452769,0.015382913279941478,0.0032573289902280127,0.04460731089395587
6,0.36473684210526314,0.02005,2.4092664092664093,0.052735375602084494,0.003861003861003861,0.0980457047683938
7,0.36473684210526314,0.008025,2.1838235294117645,0.04106422191672896,0.0036764705882352923,0.054044117647058826
8,0.36473684210526314,0.007725,2.275092936802974,0.01370647701303848,0.003717472118959107,0.056970260223048366
9,0.36473684210526314,0.015325,2.464516129032258,0.034804083065905794,0.0032258064516129024,0.08999999999999996
