decay_factor,run,min_entropy,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
0.8,1,0.9810037258103921,2.2821052631578946,0.0016758383769523628,0.002105263157894737,0.018596491228070174
0.8,2,0.9824427600519625,2.2075848303393215,0.0012942291769167075,0.0019960079840319355,0.027278775781769807
0.8,3,0.9758702310382488,2.145719489981785,0.005656063531550895,0.0018214936247723133,0.019732847601700063
0.8,4,0.9912028977110626,2.2098765432098766,0.005142928468972414,0.00205761316872428,0.028806584362139932
0.8,5,0.9820374639805292,2.2459312839059673,0.0007598870213698709,0.0018083182640144658,0.030440024110910197
0.8,6,0.9812128174325261,2.281995661605206,0.0017763295914318656,0.002169197396963123,0.04266088214027476
0.8,7,0.9711583855552327,2.2423146473779387,0.004568109492412831,0.0018083182640144658,0.02652200120554552
0.8,8,0.9858800796285085,2.208791208791209,0.0014031918342495785,0.0018315018315018306,0.03113553113553115
0.8,9,0.986059961173937,2.2288732394366195,0.003203599733900502,0.0017605633802816895,0.033157276995305164
0.8,10,0.9768077682214604,2.1516587677725116,0.0013338061412494885,0.0023696682464454982,0.027646129541864142
0.8500000000000001,1,0.9832393111642552,2.1971830985915495,0.0024922031425125375,0.0017605633802816897,0.022593896713615034
0.8500000000000001,2,0.9871148089296771,2.24609375,0.0020887443162196386,0.0019531249999999996,0.02539062500000001
0.8500000000000001,3,0.9877947840772938,2.1724137931034484,0.0022262400004616086,0.0017241379310344827,0.02183908045977012
0.8500000000000001,4,0.9834355256446081,2.193939393939394,0.004345065987000438,0.00202020202020202,0.045791245791245765
0.8500000000000001,5,0.9903290084563936,2.2435064935064934,0.005817785270792342,0.001623376623376623,0.03706709956709955
0.8500000000000001,6,0.9948408592867926,2.2318840579710146,0.0019231345228097891,0.0020703933747412005,0.030710835058661165
0.8500000000000001,7,0.9933299412633465,2.1702127659574466,0.0036558326451342975,0.0019342359767891683,0.030947775628626707
0.8500000000000001,8,0.9932056541522754,2.2272,0.0015194221508828252,0.0015999999999999999,0.02986666666666667
0.8500000000000001,9,0.9820374639805292,2.263069139966273,0.0033677168064392966,0.0016863406408094432,0.025295109612141667
0.8500000000000001,10,0.9904775488222841,2.2454545454545456,0.00457126890334367,0.002272727272727272,0.03825757575757577
0.9,1,0.9975114313112048,2.208909370199693,0.009122504978163807,0.0015360983102918585,0.02764976958525346
0.9,2,0.9956740160798464,2.212651413189771,0.013743623269673088,0.0013458950201884247,0.029609690444145336
0.9,3,0.9947315407900497,2.179059180576631,0.003113598502246768,0.001517450682852807,0.02781992918563481
0.9,4,0.986059961173937,2.1502504173622703,0.002577857283993029,0.0016694490818030046,0.013077351140790203
0.9,5,0.9979435371791368,2.153609831029186,0.014607408265144738,0.0015360983102918585,0.015873015873015876
0.9,6,0.9903290084563936,2.14950634696756,0.0035950939339657404,0.0014104372355430179,0.01927597555242126
0.9,7,0.9932056541522754,2.18562874251497,0.006515232430717802,0.0014970059880239518,0.0189620758483034
0.9,8,0.998272131281271,2.150442477876106,0.010673984821381587,0.0014749262536873154,0.031219272369714834
0.9,9,0.9918993463575537,2.1840193704600486,0.01811194290871763,0.001210653753026634,0.026230831315577068
0.9,10,0.995870813822498,2.2028985507246377,0.005065720942344099,0.0016103059581320447,0.017981749865807837
0.95,1,0.9984555507821821,2.193003618817853,0.030183510869387295,0.00120627261761158,0.0241254523522316
0.95,2,0.9994152495557733,2.186695278969957,0.029215336753703653,0.001072961373390558,0.016452074391988564
0.95,3,0.9991313830285768,2.179696616102684,0.025302912293328882,0.0011668611435239203,0.021003500583430576
0.95,4,0.9980115459720256,2.2178423236514524,0.030910040401256878,0.001037344398340249,0.023167358229598884
0.95,5,0.9987914938072259,2.248548199767712,0.02394483597758521,0.0011614401858304293,0.026713124274099876
0.95,6,0.9996979367402672,2.1570552147239264,0.009159137219264446,0.001226993865030675,0.02556237218813905
0.95,7,0.9994152495557733,2.213523131672598,0.028301477951020157,0.0011862396204033216,0.026097271648873054
0.95,8,0.9977326391597567,2.1929046563192904,0.010922218585519526,0.0011086474501108647,0.01736881005173689
0.95,9,0.9989925775819612,2.1593886462882095,0.017256247148069195,0.001091703056768559,0.019468704512372637
0.95,10,0.9994152495557733,2.2409090909090907,0.020833056516952584,0.001136363636363636,0.023295454545454536
1.0,1,0.982240697335645,2.171632896305125,0.0011669154892113055,0.0011918951132300357,0.031585220500595916
1.0,2,0.9797245374856092,2.1861042183622827,0.002429206095656453,0.0012406947890818859,0.021091811414392068
1.0,3,0.9847763220654024,2.1333333333333333,0.0038044292856249883,0.0011494252873563216,0.027203065134099598
1.0,4,0.9774985332938142,2.1735537190082646,0.0034620683357239235,0.001377410468319559,0.04315886134067947
1.0,5,0.9881278013422394,2.1333333333333333,0.002003132873074075,0.00119047619047619,0.03174603174603174
1.0,6,0.9881278013422394,2.138888888888889,0.001847760584247452,0.0011574074074074071,0.026427469135802472
1.0,7,0.9826436524627961,2.184956843403206,0.0042700195482016515,0.0012330456226880395,0.03699136868064114
1.0,8,0.9788482539160475,2.165,0.003233019971706488,0.0012499999999999994,0.020000000000000014
1.0,9,0.9840171583460553,2.1481481481481484,0.0026459186915807364,0.0012345679012345674,0.025720164609053492
1.0,10,0.9856990334235138,2.147286821705426,0.003104809928158866,0.001291989664082687,0.0333763996554694
