run,steepness,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
7,4.368421052631579,0.0352,2.780626780626781,0.019299702738098164,0.002849002849002849,0.17384669588125226
8,4.368421052631579,0.029375,2.6595744680851063,0.023575036978040736,0.002659574468085106,0.15511799757608402
9,4.368421052631579,0.036775,2.848648648648649,0.017256041831863682,0.002702702702702703,0.22743163861274074
10,4.368421052631579,0.0358,2.9310344827586206,0.016498851072539726,0.002873563218390804,0.23778726509760975
1,4.578947368421052,0.0354,2.735135135135135,0.02284575137173228,0.002702702702702703,0.18176175293614888
2,4.578947368421052,0.033,2.6597402597402597,0.021797327998372387,0.0025974025974025974,0.17883924757478284
3,4.578947368421052,0.041825,2.904884318766067,0.01737240399376251,0.002570694087403599,0.2334570683519289
4,4.578947368421052,0.032075,2.6288951841359776,0.026323148313233295,0.0028328611898017,0.12972419459671583
5,4.578947368421052,0.0368,2.7163461538461537,0.018212593965605997,0.0024038461538461535,0.185538967611336
6,4.578947368421052,0.029975,2.7403314917127073,0.02466989417908443,0.002762430939226518,0.1576100374923338
7,4.578947368421052,0.036375,2.801089918256131,0.01990534705705142,0.0027247956403269754,0.21321972743729956
8,4.578947368421052,0.035675,2.864705882352941,0.01994877544671323,0.002941176470588235,0.241227180527383
9,4.578947368421052,0.0275,2.610526315789474,0.028010365991201987,0.002631578947368421,0.16234333998381206
10,4.578947368421052,0.033375,2.769633507853403,0.01947811772908381,0.002617801047120418,0.21679981311714389
1,4.789473684210526,0.035,2.749354005167959,0.022511413691073887,0.002583979328165374,0.1845488269757208
2,4.789473684210526,0.0375,2.7465940054495914,0.021479319884154878,0.002724795640326975,0.19623574528206666
3,4.789473684210526,0.034225,2.8757396449704142,0.016936479787427062,0.002958579881656804,0.23002836324514642
4,4.789473684210526,0.0343,2.776470588235294,0.022311275664897583,0.002941176470588235,0.1934919433119782
5,4.789473684210526,0.0298,2.6206896551724137,0.02738781345824632,0.0026525198938992037,0.15081779405386828
6,4.789473684210526,0.028225,2.6836158192090394,0.020360871523124848,0.0028248587570621464,0.15468034463885585
7,4.789473684210526,0.0294,2.6441558441558444,0.026411871418398833,0.0025974025974025974,0.1495832502336568
8,4.789473684210526,0.039025,2.8756476683937824,0.01902389223470829,0.002590673575129534,0.19650539276146395
9,4.789473684210526,0.0325,2.7865168539325844,0.020499381740835418,0.0028089887640449433,0.2111952688413876
10,4.789473684210526,0.0327,2.617142857142857,0.023615867056238565,0.002857142857142857,0.1718783141163442
1,5.0,0.0399,2.8372093023255816,0.02223141106999424,0.0029069767441860456,0.2211800757553483
2,5.0,0.03115,2.663157894736842,0.019844576260351843,0.002631578947368421,0.15224596322652892
3,5.0,0.035325,2.740740740740741,0.021773588629788194,0.0026455026455026445,0.20816141611248629
4,5.0,0.040575,2.949438202247191,0.019838608876645892,0.0028089887640449433,0.2658660232524766
5,5.0,0.027475,2.5295629820051415,0.024306854547363282,0.0025706940874035984,0.12192132971792798
6,5.0,0.041425,2.9655172413793105,0.016918750117576233,0.0026525198938992037,0.23779408925068873
7,5.0,0.0313,2.628415300546448,0.026034594943195887,0.00273224043715847,0.15452545232097153
8,5.0,0.038125,2.855614973262032,0.018691526833623073,0.0026737967914438497,0.23399834982885964
9,5.0,0.038775,2.8098159509202456,0.020341938603697297,0.0030674846625766863,0.20793426302858095
10,5.0,0.032275,2.745995423340961,0.023480485734921053,0.0022883295194508,0.1826505101025735
