run,midpoint_sigmoid,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
6,4.052631578947368,0.0368,2.873900293255132,0.02090940131275306,0.002932551319648094,0.22292527528432707
7,4.052631578947368,0.029075,2.5294117647058822,0.027853302446197634,0.0026737967914438492,0.11523635270174616
8,4.052631578947368,0.0349,2.8011204481792715,0.018687626973562,0.0028011204481792717,0.1909926212372855
9,4.052631578947368,0.0332,2.5721649484536084,0.026983681358261343,0.002577319587628865,0.14525341551310492
10,4.052631578947368,0.04015,2.9971014492753625,0.01728360851779683,0.002898550724637681,0.25173464253172134
1,4.289473684210526,0.0321,2.744186046511628,0.022712032448145226,0.002583979328165374,0.20529903007152744
2,4.289473684210526,0.031975,2.7293447293447293,0.020644926547505348,0.002849002849002849,0.16529845997199955
3,4.289473684210526,0.021225,2.5217391304347827,0.02715291386111117,0.0027173913043478256,0.12418725123811274
4,4.289473684210526,0.034375,2.755434782608696,0.023401747779346574,0.002717391304347825,0.18483805445761964
5,4.289473684210526,0.0378,2.8188976377952755,0.018613009785386325,0.0026246719160104974,0.20704761695193313
6,4.289473684210526,0.0377,2.88953488372093,0.01927323648466206,0.002906976744186046,0.25023918844041343
7,4.289473684210526,0.035025,2.6739130434782608,0.027221980536064217,0.0027173913043478256,0.18827952292526143
8,4.289473684210526,0.034825,2.7858942065491186,0.018772844666413522,0.0025188916876574307,0.20860325456799
9,4.289473684210526,0.03325,2.821529745042493,0.018668929433801957,0.0028328611898017,0.22280574320234378
10,4.289473684210526,0.0329,2.7058823529411766,0.028641910950168954,0.002801120448179272,0.14600838227492147
1,4.526315789473684,0.03375,2.6844919786096257,0.022821116527716175,0.0026737967914438492,0.17830882352941177
2,4.526315789473684,0.0354,2.9285714285714284,0.015566308747111327,0.002976190476190476,0.24380080612383168
3,4.526315789473684,0.03575,2.8958333333333335,0.019159864427979713,0.0026041666666666657,0.22026827711159555
4,4.526315789473684,0.02875,2.6777408637873754,0.019438141905280426,0.003322259136212624,0.17283437922972808
5,4.526315789473684,0.03325,2.8079096045197742,0.018700821413346023,0.0028248587570621464,0.18866002806680762
6,4.526315789473684,0.031225,2.7134502923976607,0.022438355390517584,0.002923976608187134,0.18008096234640852
7,4.526315789473684,0.032875,2.600550964187328,0.024875686075461804,0.002754820936639118,0.15772428668105562
8,4.526315789473684,0.0368,2.7523364485981308,0.013084250870629024,0.00233644859813084,0.1912373535083815
9,4.526315789473684,0.037675,2.790190735694823,0.021349596848954048,0.002724795640326975,0.16372780802519998
10,4.526315789473684,0.03185,2.786127167630058,0.021468328881667522,0.002890173410404624,0.2122951601518534
1,4.763157894736842,0.02975,2.553935860058309,0.02787171211688725,0.002915451895043731,0.1513927310054457
2,4.763157894736842,0.036075,2.7354497354497354,0.02041832654451877,0.0026455026455026445,0.17377218852561233
3,4.763157894736842,0.032575,2.7544303797468355,0.018525278278764844,0.0025316455696202528,0.17717902350813752
4,4.763157894736842,0.03185,2.6966966966966965,0.028162075372063354,0.0030030030030030025,0.16773199531820215
5,4.763157894736842,0.039325,2.8736263736263736,0.01792084526891156,0.002747252747252748,0.20929672662161491
6,4.763157894736842,0.0376,2.7892156862745097,0.0180320497257617,0.0024509803921568623,0.20322746745757114
7,4.763157894736842,0.0339,2.765957446808511,0.020603790559027103,0.002364066193853428,0.19192376714279094
8,4.763157894736842,0.033125,2.7150837988826817,0.02232693968931493,0.002793296089385474,0.17650526139717293
9,4.763157894736842,0.03385,2.768328445747801,0.021522830189351323,0.002932551319648094,0.21511120245143361
10,4.763157894736842,0.039475,2.8547008547008548,0.016313649207632022,0.002849002849002849,0.2137282924427777
1,5.0,0.0355,2.747311827956989,0.021265718374665427,0.002688172043010753,0.1878663293274298
2,5.0,0.034725,2.8022284122562673,0.02029660465982195,0.002785515320334261,0.18714533482494797
3,5.0,0.03425,2.673015873015873,0.019403575651922248,0.0031746031746031746,0.17594678729510183
4,5.0,0.03575,2.7711598746081503,0.024251740998896848,0.003134796238244514,0.1865885239198582
5,5.0,0.033225,2.864406779661017,0.019908097516190378,0.0028248587570621464,0.2343234785546324
6,5.0,0.04065,2.996923076923077,0.015667398763373995,0.003076923076923076,0.24897531798909744
7,5.0,0.0398,3.03680981595092,0.01470330169716673,0.003067484662576686,0.2735646714880506
8,5.0,0.03665,2.6602409638554216,0.023440021094308105,0.0024096385542168677,0.1684771518506458
9,5.0,0.034575,2.7607361963190185,0.02365016109392387,0.0030674846625766863,0.19965692605747493
10,5.0,0.03765,2.954177897574124,0.018243317276911385,0.002695417789757412,0.2519730283978607
