run,bias_factor,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,0.0,0.009275,2.251700680272109,0.001800229185133308,0.0034013605442176856,0.058956916099773236
2,0.0,0.0124,2.128205128205128,0.0014650304921023727,0.003205128205128205,0.02243589743589743
3,0.0,0.0105,2.111111111111111,0.0019740719661038384,0.003968253968253968,0.039021164021164026
4,0.0,0.007975,2.0941176470588236,0.0028778773382945894,0.002941176470588235,0.026470588235294117
5,0.0,0.010875,2.1554054054054053,0.0023864057762362847,0.0033783783783783773,0.050112612612612635
6,0.0,0.010825,2.120805369127517,0.0019136738935396655,0.0033557046979865762,0.0469798657718121
7,0.0,0.011825,2.107142857142857,0.004266360668854189,0.002976190476190476,0.027777777777777773
8,0.0,0.010175,2.175548589341693,0.0010508405698347184,0.0031347962382445136,0.06583072100313477
9,0.0,0.01385,2.1621621621621623,0.001981686173162058,0.003861003861003862,0.06435006435006436
10,0.0,0.009275,2.0555555555555554,0.0022664496749862603,0.0034722222222222216,0.028935185185185182
1,0.05210526315789474,0.009775,2.100358422939068,0.0025766274135693196,0.003584229390681003,0.04062126642771806
2,0.05210526315789474,0.0115,2.1185185185185187,0.0029230140088487757,0.0037037037037037025,0.025308641975308636
3,0.05210526315789474,0.0124,2.1413427561837457,0.0017692370189881282,0.003533568904593639,0.04181389870435807
4,0.05210526315789474,0.011825,2.176829268292683,0.0014786593945750341,0.003048780487804877,0.0386178861788618
5,0.05210526315789474,0.009575,2.1172638436482085,0.002978468402722154,0.003257328990228013,0.030401737242128125
6,0.05210526315789474,0.01025,2.140939597315436,0.0029512428841287903,0.0033557046979865762,0.02013422818791946
7,0.05210526315789474,0.013,2.1774744027303754,0.003998827800974872,0.003412969283276449,0.04436860068259387
8,0.05210526315789474,0.011075,2.141643059490085,0.0030174814169148453,0.0028328611898017,0.028328611898016998
9,0.05210526315789474,0.009175,2.1198738170347005,0.001816114378507063,0.003154574132492113,0.035751840168243953
10,0.05210526315789474,0.011425,2.20066889632107,0.004585294634900704,0.0033444816053511696,0.028428093645484945
1,0.10421052631578948,0.01235,2.1402439024390243,0.0016402474487963205,0.003048780487804877,0.05335365853658538
2,0.10421052631578948,0.011675,2.2061855670103094,0.005338289725040807,0.003436426116838488,0.03035509736540664
3,0.10421052631578948,0.0118,2.1137724550898205,0.001621201318192877,0.002994011976047903,0.04291417165668666
4,0.10421052631578948,0.009475,2.127208480565371,0.002268490413095172,0.003533568904593639,0.025323910482921073
5,0.10421052631578948,0.009675,2.1333333333333333,0.0020246762881174466,0.0037037037037037025,0.048765432098765424
6,0.10421052631578948,0.011075,2.1464968152866244,0.002707736868112115,0.0031847133757961785,0.04087048832271765
7,0.10421052631578948,0.009275,2.107142857142857,0.002064431404185407,0.0035714285714285713,0.040476190476190485
8,0.10421052631578948,0.0106,2.2432432432432434,0.002513621787216697,0.002702702702702702,0.052702702702702685
9,0.10421052631578948,0.0081,2.1301369863013697,0.0030676230871995156,0.0034246575342465734,0.040525114155251125
10,0.10421052631578948,0.0098,2.131487889273356,0.00152598102847069,0.0034602076124567475,0.04094579008073818
1,0.1563157894736842,0.01135,2.1904761904761907,0.0018415753790412327,0.003401360544217685,0.041950113378684824
2,0.1563157894736842,0.008525,2.155688622754491,0.005107932403942792,0.002994011976047903,0.0279441117764471
3,0.1563157894736842,0.009625,2.1564625850340136,0.001640171707562823,0.003401360544217685,0.03741496598639457
4,0.1563157894736842,0.00845,2.100358422939068,0.003594283068944867,0.0035842293906810027,0.028673835125448015
5,0.1563157894736842,0.008425,2.147887323943662,0.0011554427938454978,0.0035211267605633795,0.0363849765258216
6,0.1563157894736842,0.010925,2.19672131147541,0.0020255544348937293,0.004098360655737704,0.06420765027322406
7,0.1563157894736842,0.0099,2.1939799331103678,0.0016864869505663202,0.0033444816053511696,0.028428093645484938
8,0.1563157894736842,0.01325,2.1453287197231834,0.0030986808879458045,0.0034602076124567475,0.02883506343713955
9,0.1563157894736842,0.011625,2.0936454849498327,0.0014194755951394407,0.0033444816053511696,0.03177257525083612
10,0.1563157894736842,0.00775,2.109090909090909,0.0033802902723350124,0.0045454545454545435,0.022727272727272724
1,0.20842105263157895,0.01055,2.1656050955414012,0.002173755373730954,0.003184713375796179,0.04511677282377921
2,0.20842105263157895,0.011575,2.132911392405063,0.0017033769351756938,0.003164556962025315,0.05379746835443037
3,0.20842105263157895,0.00775,2.10752688172043,0.0029887351327741816,0.003584229390681003,0.03584229390681004
4,0.20842105263157895,0.008625,2.176829268292683,0.0016781133928297687,0.0030487804878048773,0.04420731707317074
5,0.20842105263157895,0.0117,2.125,0.002025392065173753,0.0032894736842105257,0.030701754385964907
6,0.20842105263157895,0.010525,2.188087774294671,0.0020297841404548927,0.0031347962382445136,0.05067920585161965
7,0.20842105263157895,0.01155,2.1864406779661016,0.0029386660817615835,0.0028248587570621456,0.034839924670433155
8,0.20842105263157895,0.013075,2.0692307692307694,0.0022256603651952486,0.0038461538461538477,0.014102564102564105
9,0.20842105263157895,0.0121,2.1225806451612903,0.0033666041652261505,0.0032258064516129024,0.034946236559139796
10,0.20842105263157895,0.0109,2.181132075471698,0.003542491418235733,0.0037735849056603774,0.04905660377358492
1,0.2605263157894737,0.012725,2.111111111111111,0.0014148340450614845,0.002645502645502644,0.027777777777777783
2,0.2605263157894737,0.00995,2.1676646706586826,0.0014237237020585983,0.002994011976047903,0.035928143712574856
3,0.2605263157894737,0.011375,2.1485411140583555,0.0011979983821509867,0.0026525198938992037,0.03536693191865608
4,0.2605263157894737,0.00805,2.138957816377171,0.0012726969288382318,0.0024813895781637717,0.04714640198511167
5,0.2605263157894737,0.01075,2.136986301369863,0.0024936259738645135,0.004566210045662099,0.033485540334855395
6,0.2605263157894737,0.0096,2.175324675324675,0.005926563696251375,0.0032467532467532452,0.025974025974025962
7,0.2605263157894737,0.01175,2.1823361823361824,0.0037707129970740287,0.002849002849002849,0.026115859449192785
8,0.2605263157894737,0.008525,2.1258278145695364,0.006496446722844382,0.0033112582781456945,0.032560706401766
9,0.2605263157894737,0.010675,2.211699164345404,0.00208821020822079,0.0027855153203342614,0.03946146703806873
10,0.2605263157894737,0.010225,2.1675977653631286,0.0035960840930434074,0.0027932960893854745,0.027932960893854747
1,0.3126315789473684,0.011375,2.204724409448819,0.0017453466837684035,0.0026246719160104982,0.05074365704286963
2,0.3126315789473684,0.01145,2.1994301994301995,0.0023234242145416927,0.002849002849002849,0.039886039886039906
3,0.3126315789473684,0.0101,2.179190751445087,0.0013312136780111088,0.002890173410404624,0.052986512524084775
4,0.3126315789473684,0.0114,2.151761517615176,0.0018186975496102553,0.0027100271002710014,0.03884372177055105
5,0.3126315789473684,0.0108,2.1770833333333335,0.0012581008867259943,0.0026041666666666652,0.026041666666666668
6,0.3126315789473684,0.010125,2.167539267015707,0.0015372303455179154,0.002617801047120418,0.03141361256544504
7,0.3126315789473684,0.00935,2.192926045016077,0.004318731791710766,0.003215434083601286,0.03215434083601286
8,0.3126315789473684,0.012175,2.157232704402516,0.0038690056875758604,0.003144654088050313,0.042976939203354304
9,0.3126315789473684,0.009975,2.1628664495114007,0.003170983421581017,0.003257328990228013,0.03257328990228013
10,0.3126315789473684,0.0081,2.204204204204204,0.001612065966159076,0.003003003003003003,0.04404404404404407
1,0.36473684210526314,0.0128,2.1136363636363638,0.001042892292892293,0.0028409090909090906,0.05255681818181816
2,0.36473684210526314,0.0098,2.2287104622871046,0.0009156334848555417,0.0024330900243309,0.04906731549067312
3,0.36473684210526314,0.011325,2.138888888888889,0.003152119222130582,0.002777777777777777,0.03472222222222224
4,0.36473684210526314,0.0089,2.157760814249364,0.0008470364581278911,0.0025445292620865124,0.02756573367260391
5,0.36473684210526314,0.012875,2.1942257217847767,0.001954197816649117,0.002624671916010498,0.05686789151356078
6,0.36473684210526314,0.01015,2.1475409836065573,0.0014963365850408294,0.00273224043715847,0.029599271402550097
7,0.36473684210526314,0.010125,2.129353233830846,0.0016186833910249252,0.0024875621890547255,0.02446102819237148
8,0.36473684210526314,0.008375,2.102409638554217,0.002122855608095662,0.0030120481927710836,0.029116465863453813
9,0.36473684210526314,0.0117,2.1466275659824046,0.0022415724133579415,0.0029325513196480934,0.04105571847507333
10,0.36473684210526314,0.011325,2.235955056179775,0.0021061492423084176,0.0028089887640449424,0.032771535580524355
1,0.4168421052631579,0.0094,2.2072829131652663,0.0029724502556205262,0.0028011204481792717,0.03267973856209151
2,0.4168421052631579,0.009875,2.1435643564356437,0.002872403087869989,0.0024752475247524735,0.0292904290429043
3,0.4168421052631579,0.011225,2.1818181818181817,0.002213941398841736,0.002932551319648094,0.04203323558162269
4,0.4168421052631579,0.01185,2.142105263157895,0.0019517057081284274,0.0026315789473684206,0.03289473684210527
5,0.4168421052631579,0.0109,2.16969696969697,0.0018420171767343535,0.0030303030303030294,0.03535353535353536
6,0.4168421052631579,0.008325,2.0869565217391304,0.0014075137493969132,0.0028985507246376803,0.045410628019323704
7,0.4168421052631579,0.013525,2.224242424242424,0.006085149066467178,0.0030303030303030294,0.052020202020202036
8,0.4168421052631579,0.0121,2.1736842105263157,0.002075880113652645,0.002631578947368421,0.03903508771929827
9,0.4168421052631579,0.0103,2.202127659574468,0.0017544278833390222,0.002659574468085106,0.04210992907801422
10,0.4168421052631579,0.00895,2.1783783783783783,0.003493857059604674,0.002702702702702702,0.03243243243243244
1,0.46894736842105267,0.01085,2.150485436893204,0.0021349313486048187,0.0024271844660194164,0.019417475728155335
2,0.46894736842105267,0.0132,2.1379310344827585,0.001562794484155586,0.0024630541871921183,0.03325123152709361
3,0.46894736842105267,0.010675,2.201550387596899,0.0014823670926815886,0.0025839793281653735,0.046511627906976744
4,0.46894736842105267,0.00915,2.159779614325069,0.003067442372570296,0.0027548209366391177,0.027089072543618
5,0.46894736842105267,0.012525,2.1674641148325358,0.0012239472316147816,0.0023923444976076545,0.031100478468899538
6,0.46894736842105267,0.013575,2.1866666666666665,0.0019131290829761103,0.0026666666666666653,0.0368888888888889
7,0.46894736842105267,0.012725,2.2179176755447942,0.0015163128679570354,0.002421307506053268,0.04600484261501211
8,0.46894736842105267,0.00895,2.158119658119658,0.0044404604329611914,0.0021367521367521374,0.03133903133903136
9,0.46894736842105267,0.010825,2.189125295508274,0.0020173244208269354,0.002364066193853427,0.03979511426319939
10,0.46894736842105267,0.00925,2.2339181286549707,0.0026927620356163254,0.002923976608187133,0.051169590643274886
1,0.5210526315789474,0.009575,2.2117117117117115,0.0035570692189999054,0.002252252252252252,0.045045045045045036
2,0.5210526315789474,0.010625,2.209090909090909,0.0022571015487669157,0.0022727272727272726,0.049621212121212094
3,0.5210526315789474,0.0094,2.272727272727273,0.003250232817412107,0.002673796791443849,0.03921568627450983
4,0.5210526315789474,0.0103,2.2281553398058254,0.0018644279703373887,0.002427184466019417,0.03721682847896443
5,0.5210526315789474,0.0103,2.174358974358974,0.002724337738781329,0.002564102564102564,0.03205128205128206
6,0.5210526315789474,0.011675,2.175609756097561,0.004568186628220374,0.0024390243902439007,0.04959349593495932
7,0.5210526315789474,0.00875,2.2051282051282053,0.0028578658951151793,0.002849002849002849,0.04510921177587847
8,0.5210526315789474,0.0083,2.2009132420091326,0.0011042381020717094,0.002283105022831049,0.03158295281582954
9,0.5210526315789474,0.01135,2.1769911504424777,0.0035657677574362228,0.0022123893805309726,0.021755162241887904
10,0.5210526315789474,0.0117,2.189054726368159,0.002847638366769643,0.002487562189054726,0.035655058043117756
1,0.5731578947368421,0.009075,2.288135593220339,0.004371008580618537,0.00211864406779661,0.04837570621468926
2,0.5731578947368421,0.0104,2.1461377870563676,0.0022223712861674867,0.0020876826722338203,0.01600556715379262
3,0.5731578947368421,0.007775,2.1615720524017465,0.004088930653197929,0.002183406113537118,0.022561863173216887
4,0.5731578947368421,0.012425,2.1991525423728815,0.002236764432275744,0.0021186440677966106,0.03778248587570621
5,0.5731578947368421,0.0088,2.1651785714285716,0.0029995238381866724,0.002232142857142856,0.03980654761904762
6,0.5731578947368421,0.0097,2.1528384279475983,0.0016588027501411935,0.002183406113537118,0.049854439592430834
7,0.5731578947368421,0.011075,2.1525054466230937,0.0028569985003037424,0.0021786492374727662,0.03994190268700072
8,0.5731578947368421,0.009475,2.1099476439790577,0.001356418006305288,0.002617801047120419,0.023560209424083763
9,0.5731578947368421,0.01295,2.1879518072289157,0.0017085713101907577,0.0024096385542168677,0.03694779116465865
10,0.5731578947368421,0.011475,2.235576923076923,0.0021336460669881306,0.0024038461538461527,0.0488782051282051
1,0.6252631578947369,0.007025,2.2202247191011235,0.0029934898502124007,0.0022471910112359553,0.03632958801498129
2,0.6252631578947369,0.011,2.205949656750572,0.004102487626297908,0.0022883295194508005,0.051106025934401215
3,0.6252631578947369,0.011475,2.2,0.003741753163097684,0.002040816326530613,0.02380952380952382
4,0.6252631578947369,0.015325,2.210526315789474,0.0024036509026993023,0.0022883295194508005,0.03585049580472923
5,0.6252631578947369,0.012025,2.1386138613861387,0.0018063081514058817,0.0019801980198019802,0.026732673267326743
6,0.6252631578947369,0.009675,2.228,0.002239531271378098,0.0019999999999999987,0.0503333333333333
7,0.6252631578947369,0.011675,2.20704845814978,0.0061249650707067,0.0022026431718061667,0.04331864904552128
8,0.6252631578947369,0.011025,2.2309368191721135,0.0024481153371531156,0.0021786492374727662,0.04793028322440085
9,0.6252631578947369,0.009625,2.1990950226244346,0.0017132027636229319,0.0022624434389140265,0.027149321266968333
10,0.6252631578947369,0.01065,2.168888888888889,0.0038368773641602153,0.0022222222222222222,0.03592592592592594
1,0.6773684210526316,0.010525,2.193018480492813,0.0033095866505643274,0.002053388090349076,0.02464065708418892
2,0.6773684210526316,0.010925,2.1683778234086244,0.0027956951591142747,0.0020533880903490756,0.033059548254620125
3,0.6773684210526316,0.009825,2.202020202020202,0.0014119730784618153,0.0020202020202020198,0.02592592592592594
4,0.6773684210526316,0.011725,2.224,0.00238695865626836,0.001999999999999999,0.04866666666666664
