run,death_prob,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,0.0,0.27995,3.0,0.017122128685646606,0.0032467532467532465,0.2825193890079385
2,0.0,0.287175,3.062271062271062,0.020451836709705174,0.003663003663003663,0.27967469910692616
3,0.0,0.287825,3.2125435540069684,0.015206017773411868,0.003484320557491289,0.3373317197046891
4,0.0,0.275425,3.2555205047318614,0.01614068247059501,0.003154574132492113,0.3520925766573349
5,0.0,0.291225,3.477124183006536,0.0119940138839545,0.0032679738562091487,0.3844627580477952
6,0.0,0.27925,3.5161290322580645,0.0088455129795562,0.0032258064516129024,0.41810212352083
7,0.0,0.286525,3.239193083573487,0.01622379162070613,0.002881844380403458,0.3181920245372962
8,0.0,0.2786,3.251572327044025,0.016062435504014864,0.0031446540880503146,0.3423891149751306
9,0.0,0.279625,3.1446540880503147,0.019516934018142876,0.0031446540880503146,0.3167143655014275
10,0.0,0.282925,3.305732484076433,0.013038292741086744,0.0031847133757961785,0.34993736461154373
1,0.05210526315789474,0.128225,2.8175675675675675,0.02743034456109517,0.0033783783783783786,0.2621126968089582
2,0.05210526315789474,0.1333,2.9025270758122743,0.01650956274406282,0.003610108303249097,0.3021039319252557
3,0.05210526315789474,0.138675,2.984251968503937,0.011514123975609768,0.003937007874015748,0.28839050277075856
4,0.05210526315789474,0.1279,2.7832167832167833,0.019718655448825954,0.0034965034965034965,0.25204532833360316
5,0.05210526315789474,0.134375,2.9456066945606696,0.024275140912781618,0.0041841004184100415,0.3173682107888089
6,0.05210526315789474,0.132325,2.9416058394160585,0.02411523284215427,0.00364963503649635,0.2701451832838693
7,0.05210526315789474,0.132475,2.9623430962343096,0.022411485647169205,0.004184100418410041,0.2929690704733775
8,0.05210526315789474,0.128,2.9562289562289563,0.023908962892013736,0.003367003367003366,0.2876009336922492
9,0.05210526315789474,0.13555,3.079847908745247,0.00988408552136049,0.0038022813688212928,0.34289702361722046
10,0.05210526315789474,0.139725,3.046875,0.01786308765632237,0.003906249999999999,0.31738173682140036
1,0.10421052631578948,0.02025,2.606741573033708,0.022330046018161787,0.0037453183520599247,0.14679554283853255
2,0.10421052631578948,0.017275,2.364217252396166,0.019951456349040154,0.0031948881789137375,0.1364265167990529
3,0.10421052631578948,0.022675,2.440944881889764,0.022355530657482043,0.003937007874015747,0.1362393198190652
4,0.10421052631578948,0.025775,2.4820143884892087,0.02173809531875364,0.0035971223021582727,0.12303145718719152
5,0.10421052631578948,0.01805,2.3929824561403508,0.022084761997064523,0.0035087719298245615,0.0942865293314587
6,0.10421052631578948,0.02105,2.5098039215686274,0.026524991746410678,0.00392156862745098,0.14549173394848142
7,0.10421052631578948,0.0215,2.3740458015267176,0.04110269684104904,0.0038167938931297695,0.09811066485801172
8,0.10421052631578948,0.01435,2.3259911894273126,0.021031538731433475,0.004405286343612335,0.07223271099923081
9,0.10421052631578948,0.0208,2.4297520661157024,0.03387886789433375,0.004132231404958678,0.11385733857780526
10,0.10421052631578948,0.0144,2.226950354609929,0.029187083328826347,0.003546099290780141,0.0758772083056749
1,0.1563157894736842,0.000625,2.1695906432748537,0.04482107603549728,0.002923976608187134,0.029239766081871343
2,0.1563157894736842,0.00075,2.1573770491803277,0.051722208458982226,0.0032786885245901635,0.02950819672131147
3,0.1563157894736842,0.00105,2.2188449848024314,0.014931919835915682,0.0030395136778115493,0.022289766970618033
4,0.1563157894736842,0.0006,2.0980392156862746,0.05090644684678586,0.0032679738562091496,0.018518518518518514
5,0.1563157894736842,0.000525,2.1488673139158574,0.03325184877001706,0.0032362459546925564,0.022653721682847894
6,0.1563157894736842,0.00045,2.149532710280374,0.027279868455746648,0.0031152647975077868,0.024402907580477664
7,0.1563157894736842,0.00035,2.21671826625387,0.04324624693650854,0.0030959752321981417,0.015479876160990709
8,0.1563157894736842,0.0006,2.1987951807228914,0.03846349418547577,0.0030120481927710836,0.02811244979919679
9,0.1563157894736842,0.0004,2.205298013245033,0.015628919055686342,0.003311258278145694,0.04304635761589406
10,0.1563157894736842,0.000675,2.2142857142857144,0.046596725749820204,0.003246753246753246,0.02867965367965368
1,0.20842105263157895,0.0002,2.254742547425474,0.028004201970701137,0.002710027100271002,0.04019873532068657
2,0.20842105263157895,0.0004,2.1492537313432836,0.037786199820340496,0.0029850746268656717,0.03184079601990051
3,0.20842105263157895,0.00035,2.1405750798722045,0.05976691724768114,0.003194888178913738,0.015974440894568686
4,0.20842105263157895,0.000525,2.16025641025641,0.04264146979114307,0.003205128205128205,0.014957264957264956
5,0.20842105263157895,0.00035,2.1717791411042944,0.03761091593402432,0.0030674846625766868,0.03783231083844582
6,0.20842105263157895,0.000275,2.1575757575757577,0.03414628530092981,0.0030303030303030294,0.019191919191919187
7,0.20842105263157895,0.00045,2.1379310344827585,0.03893197576528921,0.003448275862068965,0.025287356321839077
8,0.20842105263157895,0.000725,2.16140350877193,0.04418104934859919,0.0035087719298245606,0.0239766081871345
9,0.20842105263157895,0.00035,2.2369942196531793,0.06402932254802832,0.002890173410404624,0.03179190751445087
10,0.20842105263157895,0.0006,2.151898734177215,0.043401877937877295,0.003164556962025315,0.02531645569620252
1,0.2605263157894737,0.0003,2.15015015015015,0.01986378326785272,0.003003003003003003,0.034034034034034044
2,0.2605263157894737,0.0003,2.1774744027303754,0.009853637391735065,0.0034129692832764492,0.023321956769055737
3,0.2605263157894737,0.000375,2.245398773006135,0.07037905138109637,0.0030674846625766863,0.04089979550102249
4,0.2605263157894737,0.0003,2.132841328413284,0.05056188851851343,0.0036900369003690027,0.025830258302583023
5,0.2605263157894737,0.000475,2.2397476340694005,0.043656973497647536,0.003154574132492113,0.031545741324921134
6,0.2605263157894737,0.00035,2.1974522292993632,0.05255781505756068,0.0031847133757961785,0.02813163481953291
7,0.2605263157894737,0.0004,2.213256484149856,0.05406810346055505,0.002881844380403458,0.01969260326609029
8,0.2605263157894737,0.00025,2.1714285714285713,0.0466332868522486,0.0031746031746031746,0.034391534391534404
9,0.2605263157894737,0.000275,2.1908396946564888,0.05652004688593264,0.00381679389312977,0.04071246819338422
10,0.2605263157894737,0.000475,2.208053691275168,0.04759342930483868,0.003355704697986576,0.038031319910514554
1,0.3126315789473684,0.0002,2.175084175084175,0.029555055826242273,0.0033670033670033664,0.03815937149270483
2,0.3126315789473684,0.0003,2.127388535031847,0.04056433110583412,0.0031847133757961785,0.009554140127388535
3,0.3126315789473684,0.000325,2.2018927444794953,0.05042368396199806,0.003154574132492113,0.034700315457413256
4,0.3126315789473684,0.0005,2.237762237762238,0.024380660110830607,0.0034965034965034965,0.024475524475524466
5,0.3126315789473684,0.000125,2.152173913043478,0.03271717492282392,0.0036231884057971032,0.05012077294685992
6,0.3126315789473684,0.000325,2.1750663129973473,0.0426365295257445,0.0026525198938992037,0.026525198938992044
7,0.3126315789473684,0.000275,2.2439024390243905,0.046586150628208575,0.003048780487804877,0.023373983739837387
8,0.3126315789473684,0.000225,2.1066666666666665,0.05638025334261107,0.0033333333333333335,0.030555555555555555
9,0.3126315789473684,0.000275,2.239766081871345,0.04242429286372161,0.0029239766081871335,0.03460038986354776
10,0.3126315789473684,0.00015,2.210227272727273,0.04866392866392866,0.00284090909090909,0.04214015151515154
1,0.36473684210526314,7.5e-05,2.1844380403458215,0.020755556489050708,0.002881844380403458,0.020172910662824204
2,0.36473684210526314,0.000175,2.1312741312741315,0.01870711281624321,0.003861003861003861,0.022522522522522518
3,0.36473684210526314,0.000125,2.161764705882353,0.043937064370643715,0.003676470588235293,0.0392156862745098
4,0.36473684210526314,0.000225,2.2066666666666666,0.03980396998196824,0.0033333333333333335,0.04111111111111111
5,0.36473684210526314,0.0002,2.1818181818181817,0.03999191795801965,0.0033670033670033656,0.03367003367003367
6,0.36473684210526314,0.000175,2.212218649517685,0.03273606620054788,0.003215434083601286,0.024651661307609853
7,0.36473684210526314,0.0001,2.222972972972973,0.05688444411204702,0.0033783783783783773,0.04110360360360363
8,0.36473684210526314,0.000225,2.2464788732394365,0.05405405643897719,0.0035211267605633786,0.03873239436619719
9,0.36473684210526314,0.000175,2.254335260115607,0.0425334751632115,0.002890173410404624,0.025529865125240844
10,0.36473684210526314,0.00025,2.246153846153846,0.01993966817496229,0.0030769230769230765,0.04256410256410258
1,0.4168421052631579,0.000225,2.175324675324675,0.01958178395235302,0.0032467532467532452,0.036796536796536806
2,0.4168421052631579,0.000175,2.215686274509804,0.07679470695381976,0.003267973856209149,0.049019607843137275
3,0.4168421052631579,0.0003,2.1790123456790123,0.054382724358494984,0.003086419753086418,0.015432098765432096
4,0.4168421052631579,0.000175,2.238372093023256,0.05268961638394355,0.0029069767441860447,0.027131782945736427
5,0.4168421052631579,7.5e-05,2.1931818181818183,0.033842870092870084,0.00284090909090909,0.03219696969696971
6,0.4168421052631579,0.000275,2.1962025316455698,0.017721263032881192,0.003164556962025315,0.028481012658227844
7,0.4168421052631579,0.000275,2.179310344827586,0.036234820162006645,0.003448275862068965,0.02586206896551723
8,0.4168421052631579,0.000225,2.228956228956229,0.04072948140744751,0.0033670033670033664,0.022446689113355775
9,0.4168421052631579,0.000175,2.171232876712329,0.05232246890253502,0.0034246575342465734,0.0
10,0.4168421052631579,0.0003,2.1386138613861387,0.006576843026759387,0.0033003300330033012,0.029702970297029698
1,0.46894736842105267,0.000225,2.1609907120743035,0.031225493041588843,0.0030959752321981413,0.018059855521155826
2,0.46894736842105267,0.000175,2.1723076923076925,0.0356184159073736,0.003076923076923076,0.027692307692307686
3,0.46894736842105267,0.000175,2.1012658227848102,0.014641235031463206,0.003164556962025315,0.018987341772151892
4,0.46894736842105267,0.000125,2.1481481481481484,0.02128623790514908,0.002849002849002849,0.026590693257359927
5,0.46894736842105267,0.000175,2.293628808864266,0.05447701499754371,0.0027700831024930752,0.0355493998153278
6,0.46894736842105267,5e-05,2.1301775147928996,0.013963790527360487,0.002958579881656803,0.01380670611439842
7,0.46894736842105267,0.0002,2.088888888888889,0.012437810945273632,0.003703703703703702,0.007407407407407407
8,0.46894736842105267,0.00015,2.150170648464164,0.028148601932553887,0.003412969283276449,0.023890784982935145
9,0.46894736842105267,0.00015,2.1628664495114007,0.028142861779730854,0.003257328990228013,0.03691639522258416
10,0.46894736842105267,0.000175,2.089347079037801,0.00894979685272407,0.003436426116838488,0.03321878579610538
1,0.5210526315789474,0.000125,2.1333333333333333,0.04876630684859264,0.0035087719298245606,0.050292397660818736
2,0.5210526315789474,0.000225,2.165644171779141,0.03152191518244688,0.0030674846625766863,0.009202453987730062
3,0.5210526315789474,2.5e-05,2.2590361445783134,0.041997266737921236,0.003012048192771083,0.03263052208835341
